Date;Price;Open;High;Low;Vol.;Change %;;Price
May 15, 2022,;29,439.0;30,104.0;31,416.0;28,634.0;26.48K;-2.21%;;4,158.24
May 08, 2022,;30,104.0;35,506.0;35,540.0;26,600.0;121.71K;-15.22%;;3,901.36
May 01, 2022,;35,508.0;37,662.0;39,996.0;34,879.0;40.12K;-5.72%;;4,023.89
Apr 24, 2022,;37,662.0;39,444.0;40,800.3;37,633.0;28.15K;-4.52%;;4,123.34
Apr 17, 2022,;39,446.7;40,408.7;42,977.0;38,557.0;25.52K;-2.38%;;4,131.93
Apr 10, 2022,;40,408.7;42,780.0;43,460.0;39,274.0;25.90K;-5.54%;;4,271.78
Apr 03, 2022,;42,780.0;45,825.0;47,414.0;42,137.0;26.00K;-6.64%;;4,392.59
Mar 27, 2022,;45,825.0;44,536.4;48,159.0;44,245.9;32.16K;2.89%;;4,488.28
Mar 20, 2022,;44,536.4;42,213.0;45,082.0;40,544.0;24.44K;5.50%;;4,545.86
Mar 13, 2022,;42,214.0;38,816.3;42,373.0;37,570.0;34.86K;8.75%;;4,543.04
Mar 06, 2022,;38,816.3;39,408.0;42,593.0;37,198.0;46.61K;-1.50%;;4,463.09
Feb 27, 2022,;39,408.0;39,137.1;45,326.0;37,067.1;42.08K;0.72%;;4,204.31
Feb 20, 2022,;39,125.0;40,128.0;40,274.0;34,435.0;54.80K;-2.53%;;4,328.87
Feb 13, 2022,;40,141.0;42,239.1;44,762.0;39,571.0;30.00K;-4.97%;;4,384.62
Feb 06, 2022,;42,239.1;41,454.0;45,851.0;41,171.0;37.26K;1.89%;;4,348.87
Jan 30, 2022,;41,454.0;38,179.9;41,928.0;36,282.0;37.27K;8.53%;;4,418.64
Jan 23, 2022,;38,197.0;35,103.0;38,901.0;32,981.0;67.33K;8.81%;;4,500.54
Jan 16, 2022,;35,103.0;43,069.0;43,540.6;34,079.0;52.38K;-18.50%;;4,431.85
Jan 09, 2022,;43,069.0;41,679.0;44,426.7;39,677.0;34.03K;3.34%;;4,397.93
Jan 02, 2022,;41,679.0;47,755.0;47,980.0;40,570.0;33.42K;-12.72%;;4,662.85
Dec 26, 2021,;47,755.0;50,435.2;52,027.0;45,697.0;27.50K;-5.32%;;4,677.02
Dec 19, 2021,;50,437.0;46,879.0;51,834.0;45,606.0;28.07K;7.59%;;4,766.18
Dec 12, 2021,;46,879.0;49,363.1;50,800.0;45,539.0;40.26K;-5.03%;;4,725.78
Dec 05, 2021,;49,363.1;49,272.0;51,969.0;46,897.0;42.70K;0.18%;;4,620.64
Nov 28, 2021,;49,272.0;54,836.0;59,174.0;42,101.0;47.88K;-10.15%;;4,712.02
Nov 21, 2021,;54,836.0;59,739.0;60,047.0;53,565.0;53.23K;-8.21%;;4,538.43
Nov 14, 2021,;59,739.0;64,406.0;66,320.0;55,670.0;48.89K;-7.25%;;4,594.62
Nov 07, 2021,;64,406.0;61,495.0;68,925.0;61,400.0;43.75K;4.73%;;4,697.96
Oct 31, 2021,;61,496.0;61,838.8;64,263.4;59,595.6;24.52K;-0.55%;;4,682.85
