"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2022","12,131.13","11,396.28","12,131.13","11,092.59","2.72B","6.84%"
"May 15, 2022","11,354.62","11,727.14","11,988.43","11,035.69","5.28B","-3.82%"
"May 08, 2022","11,805.00","11,923.03","11,990.61","11,108.76","6.42B","-2.80%"
"May 01, 2022","12,144.66","12,331.69","12,985.01","11,990.15","5.23B","-1.54%"
"Apr 24, 2022","12,334.64","12,749.17","13,011.45","12,315.74","5.04B","-3.93%"
"Apr 17, 2022","12,839.29","13,319.39","13,710.69","12,828.02","4.50B","-3.83%"
"Apr 10, 2022","13,351.08","13,547.29","13,685.95","13,317.74","3.73B","-2.63%"
"Apr 03, 2022","13,711.00","14,304.35","14,534.38","13,689.23","4.72B","-3.86%"
"Mar 27, 2022","14,261.50","14,177.21","14,646.90","14,101.34","5.12B","0.65%"
"Mar 20, 2022","14,169.30","13,860.39","14,218.76","13,682.55","5.06B","1.98%"
"Mar 13, 2022","13,893.84","12,795.12","13,899.28","12,555.35","7.73B","8.18%"
"Mar 06, 2022","12,843.81","13,328.36","13,353.28","12,670.08","5.73B","-3.53%"
"Feb 27, 2022","13,313.44","13,570.83","13,837.59","13,224.98","5.74B","-2.78%"
"Feb 20, 2022","13,694.62","13,424.36","13,696.86","12,587.88","4.32B","1.08%"
"Feb 13, 2022","13,548.07","13,768.97","14,163.73","13,465.56","4.62B","-1.76%"
"Feb 06, 2022","13,791.15","14,118.79","14,509.56","13,733.16","4.80B","-2.18%"
"Jan 30, 2022","14,098.01","13,812.19","14,504.82","13,767.71","5.01B","2.38%"
"Jan 23, 2022","13,770.57","13,481.50","14,002.65","13,094.65","5.90B","0.01%"
"Jan 16, 2022","13,768.92","14,681.83","14,740.54","13,764.24","4.34B","-7.55%"
"Jan 09, 2022","14,893.75","14,751.78","15,319.03","14,530.23","4.52B","-0.28%"
"Jan 02, 2022","14,935.90","15,732.50","15,852.14","14,877.63","4.66B","-4.53%"
"Dec 26, 2021","15,644.97","15,696.83","15,901.47","15,643.93","3.63B","-0.05%"
"Dec 19, 2021","15,653.37","14,933.00","15,697.98","14,860.04","3.53B","3.19%"
"Dec 12, 2021","15,169.68","15,621.27","15,637.06","14,960.37","7.31B","-2.95%"
"Dec 05, 2021","15,630.60","15,117.63","15,796.05","14,931.61","4.80B","3.61%"
"Nov 28, 2021","15,085.47","15,719.42","15,833.11","14,931.06","6.32B","-2.62%"
"Nov 21, 2021","15,491.66","16,120.92","16,212.23","15,456.09","3.82B","-3.52%"
"Nov 14, 2021","16,057.44","15,894.82","16,121.12","15,778.31","5.03B","1.24%"
"Nov 07, 2021","15,860.96","15,995.72","16,038.23","15,543.68","4.93B","-0.69%"
"Oct 31, 2021","15,971.59","15,541.26","16,053.39","15,470.82","5.08B","3.05%"
"Oct 24, 2021","15,498.39","15,142.92","15,504.12","15,070.75","5.52B","2.70%"
"Oct 17, 2021","15,090.20","14,839.74","15,222.25","14,833.28","4.33B","1.29%"
"Oct 10, 2021","14,897.34","14,540.08","14,904.98","14,441.60","3.93B","2.18%"
"Oct 03, 2021","14,579.54","14,493.12","14,755.72","14,181.69","4.01B","0.09%"
"Sep 26, 2021","14,566.70","14,954.17","15,003.16","14,324.01","4.92B","-3.20%"
"Sep 19, 2021","15,047.70","14,758.14","15,085.44","14,530.07","4.36B","0.02%"
"Sep 12, 2021","15,043.97","15,211.43","15,215.44","14,984.68","6.40B","-0.47%"
"Sep 05, 2021","15,115.49","15,375.98","15,403.44","15,111.31","3.30B","-1.61%"
"Aug 29, 2021","15,363.52","15,165.94","15,380.07","15,165.12","4.11B","1.55%"
"Aug 22, 2021","15,129.50","14,776.98","15,144.48","14,776.98","3.84B","2.82%"
"Aug 15, 2021","14,714.66","14,771.53","14,794.68","14,423.16","4.01B","-0.73%"
"Aug 08, 2021","14,822.90","14,855.75","14,894.61","14,692.41","3.93B","-0.09%"
"Aug 01, 2021","14,835.76","14,758.60","14,896.48","14,584.09","4.12B","1.11%"
"Jul 25, 2021","14,672.68","14,821.03","14,863.65","14,503.76","4.12B","-1.11%"
"Jul 18, 2021","14,836.99","14,235.98","14,846.06","14,178.66","4.22B","2.84%"
"Jul 11, 2021","14,427.24","14,743.86","14,803.68","14,413.32","4.07B","-1.87%"
"Jul 04, 2021","14,701.92","14,661.55","14,755.33","14,371.59","3.48B","0.43%"
"Jun 27, 2021","14,639.33","14,417.81","14,649.11","14,417.20","4.46B","1.94%"
"Jun 20, 2021","14,360.39","14,047.42","14,414.46","13,960.04","6.64B","2.35%"
"Jun 13, 2021","14,030.38","14,083.47","14,196.21","13,903.73","5.88B","-0.28%"
"Jun 06, 2021","14,069.42","13,802.82","14,069.42","13,784.89","4.92B","1.85%"
"May 30, 2021","13,814.49","13,829.06","13,836.17","13,548.93","3.71B","0.48%"
"May 23, 2021","13,748.74","13,557.21","13,820.87","13,551.01","4.70B","2.06%"
"May 16, 2021","13,470.99","13,368.80","13,616.58","13,072.23","4.13B","0.31%"
"May 09, 2021","13,429.98","13,687.59","13,687.93","13,002.53","4.83B","-2.34%"
"May 02, 2021","13,752.24","14,031.77","14,042.12","13,439.39","4.84B","-1.51%"
"Apr 25, 2021","13,962.68","14,052.38","14,211.57","13,941.63","4.62B","-0.39%"
"Apr 18, 2021","14,016.81","13,984.58","14,062.74","13,698.67","4.32B","-0.25%"
"Apr 11, 2021","14,052.34","13,854.44","14,062.50","13,783.95","4.38B","1.09%"
"Apr 04, 2021","13,900.19","13,594.90","13,905.41","13,582.75","4.26B","3.12%"
"Mar 28, 2021","13,480.11","13,103.97","13,487.08","12,922.57","4.19B","2.60%"
"Mar 21, 2021","13,138.72","13,278.78","13,455.64","12,786.81","5.80B","-0.58%"
"Mar 14, 2021","13,215.24","13,323.47","13,620.71","13,039.45","7.55B","-0.79%"
"Mar 07, 2021","13,319.86","12,904.26","13,433.62","12,599.23","6.04B","3.09%"
"Feb 28, 2021","12,920.15","13,406.16","13,601.33","12,397.05","6.47B","-2.06%"
"Feb 21, 2021","13,192.35","13,714.20","13,757.06","13,003.98","7.02B","-4.92%"
"Feb 14, 2021","13,874.47","14,152.22","14,175.11","13,714.35","5.39B","-1.57%"
"Feb 07, 2021","14,095.47","13,937.06","14,109.12","13,845.47","8.27B","1.73%"
"Jan 31, 2021","13,856.30","13,226.18","13,878.16","13,132.47","6.72B","6.01%"
"Jan 24, 2021","13,070.69","13,681.21","13,728.98","12,985.05","8.81B","-3.49%"
"Jan 17, 2021","13,543.06","13,132.73","13,567.14","13,078.70","4.98B","4.19%"
"Jan 10, 2021","12,998.50","13,048.78","13,220.16","12,949.76","6.23B","-1.54%"
