"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2022","1,851.30","1,844.40","1,869.10","1,836.30","644.21K","0.50%"
"May 15, 2022","1,842.10","1,809.40","1,848.20","1,785.00","622.38K","1.87%"
"May 08, 2022","1,808.20","1,883.70","1,885.60","1,797.20","978.80K","-4.00%"
"May 01, 2022","1,883.50","1,897.45","1,910.45","1,849.80","161.48K","-1.48%"
"Apr 24, 2022","1,911.70","1,931.90","1,935.50","1,870.90","746.80K","-1.17%"
"Apr 17, 2022","1,934.30","1,978.50","2,003.00","1,928.00","614.00K","-2.06%"
"Apr 10, 2022","1,974.90","1,949.60","1,985.80","1,942.90","628.22K","1.72%"
"Apr 03, 2022","1,941.60","1,921.20","1,947.70","1,915.60","1.23K","1.17%"
"Mar 27, 2022","1,919.10","1,958.70","1,959.80","1,888.30","330.80K","-1.80%"
"Mar 20, 2022","1,954.20","1,922.40","1,967.20","1,909.80","634.20K","1.29%"
"Mar 13, 2022","1,929.30","1,988.70","1,994.80","1,895.20","727.87K","-2.81%"
"Mar 06, 2022","1,985.00","1,978.50","2,078.80","1,960.60","1.48M","0.94%"
"Feb 27, 2022","1,966.60","1,921.00","1,974.90","1,892.20","881.45K","4.19%"
"Feb 20, 2022","1,887.60","1,903.50","1,976.50","1,878.60","912.48K","-0.64%"
"Feb 13, 2022","1,899.80","1,862.20","1,905.00","1,845.40","855.93K","3.13%"
"Feb 06, 2022","1,842.10","1,808.00","1,867.40","1,807.50","646.40K","1.90%"
"Jan 30, 2022","1,807.80","1,792.80","1,815.80","1,785.80","565.04K","1.28%"
"Jan 23, 2022","1,784.90","1,835.20","1,854.20","1,778.80","908.19K","-2.56%"
"Jan 16, 2022","1,831.80","1,818.70","1,848.50","1,804.70","915.30K","0.84%"
"Jan 09, 2022","1,816.50","1,796.40","1,829.30","1,789.30","765.70K","1.06%"
"Jan 02, 2022","1,797.40","1,830.10","1,833.00","1,781.30","748.00K","-1.71%"
"Dec 26, 2021","1,828.60","1,810.20","1,831.40","1,789.10","436.88K","0.93%"
"Dec 19, 2021","1,811.70","1,800.20","1,812.00","1,785.00","454.79K","0.38%"
"Dec 12, 2021","1,804.90","1,784.20","1,815.70","1,753.00","588.18K","1.13%"
"Dec 05, 2021","1,784.80","1,787.70","1,794.30","1,770.40","468.04K","0.05%"
"Nov 28, 2021","1,783.90","1,795.20","1,811.40","1,762.20","747.28K","-0.23%"
"Nov 21, 2021","1,788.10","1,850.70","1,853.00","1,780.20","575.17K","-3.57%"
"Nov 14, 2021","1,854.30","1,876.30","1,881.90","1,847.00","258.96K","-0.88%"
"Nov 07, 2021","1,870.80","1,822.20","1,873.30","1,815.90","243.74K","2.85%"
"Oct 31, 2021","1,819.00","1,786.80","1,822.20","1,761.00","82.65K","1.85%"
"Oct 24, 2021","1,785.90","1,796.40","1,814.60","1,774.60","34.00K","-0.69%"
"Oct 17, 2021","1,798.30","1,769.50","1,817.50","1,762.80","21.20K","1.59%"
"Oct 10, 2021","1,770.20","1,760.30","1,803.60","1,752.10","22.63K","0.61%"
"Oct 03, 2021","1,759.40","1,762.40","1,783.20","1,747.90","24.01K","-0.04%"
"Sep 26, 2021","1,760.10","1,754.20","1,766.40","1,723.70","28.13K","0.36%"
"Sep 19, 2021","1,753.80","1,755.60","1,789.70","1,740.00","12.36K","0.02%"
"Sep 12, 2021","1,753.40","1,791.30","1,812.70","1,747.50","10.72K","-2.27%"
"Sep 05, 2021","1,794.20","1,834.00","1,834.00","1,785.60","14.23K","-2.26%"
"Aug 29, 2021","1,835.70","1,822.90","1,838.70","1,806.60","9.70K","0.78%"
"Aug 22, 2021","1,821.50","1,783.80","1,823.70","1,780.20","4.14K","1.99%"
"Aug 15, 2021","1,786.00","1,782.40","1,799.00","1,775.20","6.84K","0.32%"
"Aug 08, 2021","1,780.30","1,766.00","1,783.50","1,680.00","14.17K","0.86%"
"Aug 01, 2021","1,765.10","1,818.60","1,837.40","1,762.00","8.75K","-2.97%"
"Jul 25, 2021","1,819.10","1,808.00","1,838.70","1,798.00","15.12K","0.64%"
"Jul 18, 2021","1,807.50","1,818.20","1,830.70","1,795.20","8.13K","-0.75%"
"Jul 11, 2021","1,821.10","1,814.60","1,840.30","1,797.20","14.79K","0.24%"
"Jul 04, 2021","1,816.70","1,793.70","1,824.40","1,793.40","10.86K","1.53%"
"Jun 27, 2021","1,789.30","1,788.20","1,800.90","1,757.60","2.79K","0.30%"
"Jun 20, 2021","1,784.00","1,770.00","1,801.00","1,770.00","1.88K","0.52%"
"Jun 13, 2021","1,774.80","1,882.70","1,882.70","1,768.80","3.33K","-5.87%"
"Jun 06, 2021","1,885.50","1,890.90","1,910.50","1,880.60","6.92K","-0.64%"
"May 30, 2021","1,897.70","1,915.00","1,922.80","1,861.80","2.54K","-0.70%"
"May 23, 2021","1,911.00","1,889.00","1,916.40","1,887.20","3.37K","1.41%"
"May 16, 2021","1,884.50","1,853.20","1,892.60","1,853.10","1.94K","2.08%"
"May 09, 2021","1,846.10","1,840.40","1,851.60","1,818.00","5.37K","0.38%"
"May 02, 2021","1,839.20","1,784.60","1,847.60","1,783.80","2.18K","3.58%"
"Apr 25, 2021","1,775.70","1,788.40","1,795.40","1,767.00","0.46K","-0.55%"
"Apr 18, 2021","1,785.60","1,795.90","1,804.50","1,775.00","0.39K","-0.14%"
"Apr 11, 2021","1,788.10","1,740.30","1,790.20","1,733.10","0.61K","2.03%"
"Apr 04, 2021","1,752.50","1,732.00","1,760.00","1,732.00","0.82K","1.00%"
"Mar 28, 2021","1,735.20","1,736.80","1,739.00","1,686.10","0.54K","-0.37%"
"Mar 21, 2021","1,741.60","1,746.50","1,753.80","1,728.10","0.44K","-0.54%"
"Mar 14, 2021","1,751.00","1,737.50","1,758.60","1,733.60","1.22K","1.25%"
"Mar 07, 2021","1,729.30","1,718.50","1,745.70","1,687.20","1.71K","1.06%"
"Feb 28, 2021","1,711.20","1,759.50","1,759.50","1,698.60","1.52K","-1.71%"
"Feb 21, 2021","1,740.90","1,797.00","1,819.70","1,730.00","0.84K","-2.54%"
"Feb 14, 2021","1,786.20","1,819.80","1,819.80","1,775.00","0.39K","-2.53%"
"Feb 07, 2021","1,832.50","1,830.80","1,862.80","1,828.80","0.79K","0.47%"
"Jan 31, 2021","1,823.90","1,870.00","1,875.90","1,797.30","1.09K","-1.91%"
"Jan 24, 2021","1,859.50","1,879.20","1,886.10","1,848.80","0.13K","-0.57%"
"Jan 17, 2021","1,870.20","1,838.80","1,880.30","1,825.50","0.20K","1.29%"
"Jan 10, 2021","1,846.40","1,848.10","1,875.10","1,839.60","1.59K","-0.42%"
"Jan 03, 2021","1,854.20","1,934.70","1,979.90","1,850.00","5.32K","-3.12%"
"Dec 27, 2020","1,914.00","1,913.90","1,913.90","1,913.90","0.82K","0.74%"
"Dec 20, 2020","1,900.00","1,906.70","1,906.70","1,906.70","0.37K","-0.20%"
"Dec 13, 2020","1,903.90","1,907.80","1,907.90","1,904.60","0.29K","2.43%"
"Dec 06, 2020","1,858.70","1,856.90","1,873.20","1,850.00","0.54K","0.17%"
"Nov 29, 2020","1,855.60","1,795.10","1,862.30","1,788.00","0.25K","2.81%"
"Nov 22, 2020","1,804.80","1,826.60","1,836.80","1,825.00","0.15K","-4.83%"
"Nov 15, 2020","1,896.30","1,894.50","1,894.50","1,889.70","0.25K","-1.02%"
"Nov 08, 2020","1,915.90","1,896.80","1,900.10","1,886.50","0.15K","-3.34%"
"Nov 01, 2020","1,982.20","1,920.90","1,975.10","1,920.90","0.01K","3.87%"
"Oct 25, 2020","1,908.30","1,909.70","1,909.70","1,900.50","0.01K","-1.38%"
"Oct 18, 2020","1,935.10","1,941.90","1,941.90","1,921.90","0.60K","-0.07%"
"Oct 11, 2020","1,936.40","1,939.90","1,939.90","1,939.90","0.01K","-1.00%"
"Oct 04, 2020","1,956.00","1,918.10","1,918.10","1,918.10","0.03K","1.12%"
"Sep 27, 2020","1,934.40","1,925.10","1,925.10","1,925.10","0.00K","2.19%"
"Sep 20, 2020","1,892.90","1,945.50","1,945.50","1,919.40","0.01K","-4.90%"
"Sep 13, 2020","1,990.50","1,974.10","1,997.90","1,965.30","0.48K","0.71%"
"Sep 06, 2020","1,976.50","1,980.00","1,980.00","1,980.00","0.01K","0.76%"
"Aug 30, 2020","1,961.60","1,962.00","1,969.00","1,962.00","0.01K","-1.98%"
