"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2022","4,158.24","3,933.89","4,158.29","3,874.77","-","6.58%"
"May 15, 2022","3,901.36","4,009.20","4,091.10","3,810.50","-","-3.05%"
"May 08, 2022","4,023.89","4,061.09","4,074.06","3,858.80","-","-2.41%"
"May 01, 2022","4,123.34","4,132.70","4,307.90","4,062.09","-","-0.21%"
"Apr 24, 2022","4,131.93","4,247.36","4,308.50","4,123.87","-","-3.27%"
"Apr 17, 2022","4,271.78","4,384.30","4,512.94","4,268.10","-","-2.75%"
"Apr 10, 2022","4,392.59","4,458.80","4,471.67","4,381.09","-","-2.13%"
"Apr 03, 2022","4,488.28","4,546.50","4,593.90","4,450.00","-","-1.27%"
"Mar 27, 2022","4,545.86","4,536.73","4,637.90","4,507.20","-","0.06%"
"Mar 20, 2022","4,543.04","4,462.24","4,546.07","4,423.90","-","1.79%"
"Mar 13, 2022","4,463.09","4,214.90","4,466.40","4,161.18","-","6.16%"
"Mar 06, 2022","4,204.31","4,319.93","4,324.00","4,157.20","-","-2.88%"
"Feb 27, 2022","4,328.87","4,326.72","4,416.60","4,280.04","-","-1.27%"
"Feb 20, 2022","4,384.62","4,329.23","4,385.80","4,114.50","-","0.82%"
"Feb 13, 2022","4,348.87","4,410.70","4,489.40","4,326.99","-","-1.58%"
"Feb 06, 2022","4,418.64","4,510.20","4,589.70","4,401.00","-","-1.82%"
"Jan 30, 2022","4,500.54","4,423.30","4,595.10","4,411.09","-","1.55%"
"Jan 23, 2022","4,431.85","4,328.40","4,454.10","4,221.54","-","0.77%"
"Jan 16, 2022","4,397.93","4,612.60","4,614.40","4,395.00","-","-5.68%"
"Jan 09, 2022","4,662.85","4,642.60","4,748.61","4,581.80","-","-0.30%"
"Jan 02, 2022","4,677.02","4,781.00","4,817.88","4,662.75","-","-1.87%"
"Dec 26, 2021","4,766.18","4,740.05","4,808.52","4,739.20","-","0.85%"
"Dec 19, 2021","4,725.78","4,562.27","4,740.49","4,530.85","-","2.28%"
"Dec 12, 2021","4,620.64","4,707.40","4,732.34","4,599.40","-","-1.94%"
"Dec 05, 2021","4,712.02","4,565.70","4,713.60","4,541.53","-","3.82%"
"Nov 28, 2021","4,538.43","4,648.68","4,673.07","4,494.20","-","-1.22%"
"Nov 21, 2021","4,594.62","4,716.00","4,743.74","4,585.78","-","-2.20%"
"Nov 14, 2021","4,697.96","4,696.29","4,718.30","4,672.97","-","0.32%"
"Nov 07, 2021","4,682.85","4,709.71","4,714.20","4,630.97","-","-0.31%"
"Oct 31, 2021","4,697.53","4,616.47","4,718.35","4,594.80","-","2.00%"
"Oct 24, 2021","4,605.38","4,556.00","4,608.70","4,537.38","-","1.33%"
"Oct 17, 2021","4,544.90","4,453.57","4,559.70","4,445.90","-","1.64%"
"Oct 10, 2021","4,471.37","4,386.35","4,476.30","4,329.40","-","1.82%"
"Oct 03, 2021","4,391.36","4,344.35","4,430.59","4,278.70","-","0.79%"
"Sep 26, 2021","4,357.05","4,443.10","4,457.25","4,288.05","-","-2.21%"
"Sep 19, 2021","4,455.48","4,361.30","4,465.80","4,305.61","-","0.51%"
"Sep 12, 2021","4,432.99","4,491.90","4,493.79","4,427.90","-","-0.57%"
"Sep 05, 2021","4,458.58","4,532.19","4,532.19","4,457.98","-","-1.69%"
"Aug 29, 2021","4,535.43","4,517.20","4,544.58","4,514.40","-","0.58%"
"Aug 22, 2021","4,509.37","4,459.30","4,513.40","4,459.30","-","1.52%"
"Aug 15, 2021","4,441.67","4,456.10","4,480.01","4,369.20","-","-0.59%"
"Aug 08, 2021","4,468.00","4,436.20","4,468.82","4,424.20","-","0.71%"
"Aug 01, 2021","4,436.52","4,415.90","4,440.20","4,373.20","-","0.94%"
"Jul 25, 2021","4,395.26","4,405.80","4,430.20","4,372.60","-","-0.37%"
"Jul 18, 2021","4,411.80","4,273.40","4,415.90","4,232.80","-","1.96%"
"Jul 11, 2021","4,327.16","4,372.41","4,393.68","4,322.53","-","-0.97%"
"Jul 04, 2021","4,369.55","4,356.46","4,371.60","4,289.37","-","0.40%"
"Jun 27, 2021","4,352.34","4,284.90","4,355.43","4,274.67","-","1.67%"
"Jun 20, 2021","4,280.70","4,173.40","4,286.12","4,173.40","-","2.74%"
"Jun 13, 2021","4,166.45","4,248.31","4,257.16","4,164.40","-","-1.91%"
"Jun 06, 2021","4,247.44","4,229.34","4,249.74","4,208.41","-","0.41%"
"May 30, 2021","4,229.89","4,216.52","4,234.12","4,167.93","-","0.61%"
"May 23, 2021","4,204.11","4,170.16","4,218.36","4,170.16","-","1.16%"
"May 16, 2021","4,155.86","4,169.92","4,188.72","4,061.41","-","-0.43%"
"May 09, 2021","4,173.85","4,228.29","4,236.39","4,056.88","-","-1.39%"
"May 02, 2021","4,232.60","4,191.98","4,238.04","4,128.59","-","1.23%"
"Apr 25, 2021","4,181.17","4,185.03","4,218.78","4,174.85","-","0.02%"
"Apr 18, 2021","4,180.17","4,179.80","4,194.17","4,118.38","-","-0.13%"
"Apr 11, 2021","4,185.47","4,124.71","4,191.31","4,114.82","-","1.37%"
"Apr 04, 2021","4,128.80","4,034.44","4,129.48","4,034.44","-","2.71%"
"Mar 28, 2021","4,019.87","3,969.31","4,020.63","3,943.25","-","1.14%"
"Mar 21, 2021","3,974.54","3,916.48","3,978.19","3,853.50","-","1.57%"
"Mar 14, 2021","3,913.10","3,942.96","3,983.87","3,886.75","-","-0.77%"
"Mar 07, 2021","3,943.34","3,844.39","3,960.27","3,819.25","-","2.64%"
"Feb 28, 2021","3,841.94","3,842.51","3,914.50","3,723.34","-","0.81%"
"Feb 21, 2021","3,811.15","3,885.55","3,928.65","3,789.54","-","-2.45%"
"Feb 14, 2021","3,906.71","3,939.61","3,950.43","3,885.03","-","-0.71%"
"Feb 07, 2021","3,934.83","3,892.59","3,937.23","3,884.94","-","1.23%"
"Jan 31, 2021","3,886.83","3,731.17","3,894.56","3,725.62","-","4.65%"
"Jan 24, 2021","3,714.24","3,851.68","3,870.90","3,694.12","-","-3.31%"
"Jan 17, 2021","3,841.47","3,781.88","3,861.45","3,780.37","-","1.94%"
"Jan 10, 2021","3,768.25","3,803.14","3,823.60","3,749.62","-","-1.48%"
"Jan 03, 2021","3,824.68","3,764.61","3,826.69","3,662.71","-","1.83%"
"Dec 27, 2020","3,756.07","3,723.03","3,760.20","3,723.03","-","1.43%"
"Dec 20, 2020","3,703.06","3,684.28","3,711.24","3,636.48","-","-0.17%"
"Dec 13, 2020","3,709.41","3,675.27","3,726.70","3,645.84","-","1.25%"
"Dec 06, 2020","3,663.46","3,694.73","3,712.39","3,633.40","-","-0.96%"
"Nov 29, 2020","3,699.12","3,634.18","3,699.20","3,594.39","-","1.67%"
"Nov 22, 2020","3,638.35","3,566.82","3,644.31","3,552.77","-","2.27%"
"Nov 15, 2020","3,557.54","3,600.16","3,628.51","3,543.84","-","-0.77%"
"Nov 08, 2020","3,585.15","3,583.04","3,645.99","3,511.91","-","2.16%"
"Nov 01, 2020","3,509.44","3,296.20","3,529.05","3,279.74","-","7.32%"
"Oct 25, 2020","3,269.96","3,441.42","3,441.42","3,233.94","-","-5.64%"
"Oct 18, 2020","3,465.39","3,493.66","3,502.42","3,415.34","-","-0.53%"
"Oct 11, 2020","3,483.81","3,500.02","3,549.85","3,440.89","-","0.19%"
"Oct 04, 2020","3,477.13","3,367.27","3,482.34","3,354.54","-","3.84%"
"Sep 27, 2020","3,348.44","3,333.90","3,397.18","3,323.69","-","1.52%"
"Sep 20, 2020","3,298.46","3,285.57","3,323.35","3,209.45","-","-0.63%"
"Sep 13, 2020","3,319.47","3,363.56","3,428.92","3,292.40","-","-0.64%"
"Sep 06, 2020","3,340.97","3,371.88","3,425.55","3,310.47","-","-2.51%"
